tsa,location,date,total_beds_available,total_beds_occupied,icu_beds_available,icu_beds_occupied,covid_inpatients,covid_icu_inpatients
A,Amarillo,2020-04-12,613,417,77,,17,4
A,Amarillo,2020-04-13,251,427,78,,17,5
A,Amarillo,2020-04-14,571,461,67,,17,5
A,Amarillo,2020-04-15,519,322,54,,40,2
A,Amarillo,2020-04-16,668,522,92,,18,6
A,Amarillo,2020-04-17,645,553,89,,24,9
A,Amarillo,2020-04-18,638,545,83,,18,5
A,Amarillo,2020-04-19,548,535,57,,35,10
A,Amarillo,2020-04-20,572,286,67,,17,6
A,Amarillo,2020-04-21,572,286,67,,17,6
A,Amarillo,2020-04-22,527,557,48,,41,21
A,Amarillo,2020-04-23,504,607,46,106,41,21
A,Amarillo,2020-04-24,534,658,41,129,40,17
A,Amarillo,2020-04-25,479,647,37,123,46,19
A,Amarillo,2020-04-26,462,648,34,126,59,26
A,Amarillo,2020-04-27,468,660,39,118,64,29
A,Amarillo,2020-04-28,432,669,39,121,67,34
A,Amarillo,2020-04-29,434,630,28,131,82,39
A,Amarillo,2020-04-30,586,594,76,123,84,37
A,Amarillo,2020-05-01,582,605,74,113,87,37
A,Amarillo,2020-05-02,477,602,48,112,91,40
A,Amarillo,2020-05-03,468,566,31,118,101,47
A,Amarillo,2020-05-04,466,571,42,107,94,44
A,Amarillo,2020-05-05,475,595,30,130,90,41
A,Amarillo,2020-05-06,464,611,36,117,96,40
A,Amarillo,2020-05-07,532,609,38,115,109,51
A,Amarillo,2020-05-08,507,661,36,116,112,48
A,Amarillo,2020-05-09,508,659,32,130,109,46
A,Amarillo,2020-05-10,481,853,38,117,103,43
A,Amarillo,2020-05-11,478,792,40,116,98,43
A,Amarillo,2020-05-12,495,583,43,111,94,43
A,Amarillo,2020-05-13,482,605,40,114,82,36
A,Amarillo,2020-05-14,455,649,45,112,84,35
A,Amarillo,2020-05-15,526,649,45,108,79,31
A,Amarillo,2020-05-16,516,653,47,109,80,33
A,Amarillo,2020-05-17,511,654,41,108,72,30
A,Amarillo,2020-05-18,455,620,52,101,68,24
A,Amarillo,2020-05-19,457,619,51,101,70,22
A,Amarillo,2020-05-20,423,643,48,110,75,21
A,Amarillo,2020-05-21,487,671,48,103,63,26
A,Amarillo,2020-05-22,486,659,45,110,53,21
A,Amarillo,2020-05-23,450,664,43,113,55,20
A,Amarillo,2020-05-24,476,612,49,107,55,22
A,Amarillo,2020-05-25,483,590,45,104,55,21
A,Amarillo,2020-05-26,479,590,39,108,61,23
A,Amarillo,2020-05-27,474,612,43,108,59,21
A,Amarillo,2020-05-28,495,665,33,118,63,28
A,Amarillo,2020-05-29,447,683,33,111,24,24
A,Amarillo,2020-05-30,399,684,46,108,58,26
A,Amarillo,2020-05-31,404,612,55,91,39,23
A,Amarillo,2020-06-01,415,589,56,92,47,19
A,Amarillo,2020-06-02,401,596,47,98,45,20
A,Amarillo,2020-06-03,385,634,44,99,46,18
A,Amarillo,2020-06-04,373,646,38,108,38,15
A,Amarillo,2020-06-05,378,622,43,98,31,15
A,Amarillo,2020-06-06,462,640,41,101,32,13
A,Amarillo,2020-06-07,426,638,37,99,31,13
A,Amarillo,2020-06-08,402,552,50,85,25,9
A,Amarillo,2020-06-09,399,577,46,92,29,15
A,Amarillo,2020-06-10,386,662,43,107,25,10
A,Amarillo,2020-06-11,465,674,41,107,23,10
A,Amarillo,2020-06-12,470,675,48,96,17,8
A,Amarillo,2020-06-13,470,672,55,92,18,7
A,Amarillo,2020-06-14,462,673,53,95,17,7
A,Amarillo,2020-06-15,381,557,52,92,16,8
A,Amarillo,2020-06-16,426,612,51,93,25,11
A,Amarillo,2020-06-17,381,682,52,100,23,8
A,Amarillo,2020-06-18,432,692,51,101,24,8
A,Amarillo,2020-06-19,445,700,40,96,22,9
A,Amarillo,2020-06-20,446,671,40,102,20,10
A,Amarillo,2020-06-21,446,663,40,102,22,10
A,Amarillo,2020-06-22,429,653,53,105,23,10
A,Amarillo,2020-06-23,411,652,59,114,23,10
A,Amarillo,2020-06-24,400,666,43,104,27,8
A,Amarillo,2020-06-25,459,705,31,118,25,9
A,Amarillo,2020-06-26,451,713,30,123,22,9
A,Amarillo,2020-06-27,457,700,29,124,21,9
A,Amarillo,2020-06-28,419,652,41,114,20,9
A,Amarillo,2020-06-29,389,648,51,110,22,10
A,Amarillo,2020-06-30,399,633,47,102,25,10
A,Amarillo,2020-07-01,355,684,38,111,25,10
A,Amarillo,2020-07-02,417,718,39,115,27,10
A,Amarillo,2020-07-03,414,730,35,115,23,12
A,Amarillo,2020-07-04,407,731,35,114,23,12
A,Amarillo,2020-07-05,399,699,35,113,26,13
A,Amarillo,2020-07-06,356,646,43,101,31,14
A,Amarillo,2020-07-07,392,636,42,106,38,14
A,Amarillo,2020-07-08,352,653,37,108,38,14
A,Amarillo,2020-07-09,418,680,38,110,41,16
A,Amarillo,2020-07-10,418,708,39,108,46,18
A,Amarillo,2020-07-11,421,711,39,113,48,18
A,Amarillo,2020-07-12,369,695,29,112,47,19
A,Amarillo,2020-07-13,358,613,37,101,46,19
A,Amarillo,2020-07-14,382,663,32,108,47,20
A,Amarillo,2020-07-15,372,667,39,110,49,21
A,Amarillo,2020-07-16,414,710,33,113,51,20
A,Amarillo,2020-07-17,426,690,34,118,58,24
A,Amarillo,2020-07-18,410,711,30,116,63,24
A,Amarillo,2020-07-19,312,655,36,108,62,25
A,Amarillo,2020-07-20,308,656,32,110,63,25
A,Amarillo,2020-07-21,334,678,34,118,69,26
A,Amarillo,2020-07-22,334,699,28,120,75,31
A,Amarillo,2020-07-23,350,734,27,126,65,32
A,Amarillo,2020-07-24,596,1048,66,182,82,42
A,Amarillo,2020-07-25,596,1073,69,175,75,40
A,Amarillo,2020-07-26,467,737,68,55,44,22
A,Amarillo,2020-07-27,504,737,64,190,77,44
A,Amarillo,2020-07-28,280,379,45,62,36,12
A,Amarillo,2020-07-29,223,333,51,59,37,9
A,Amarillo,2020-07-30,583,636,48,100,70,28
A,Amarillo,2020-07-31,584,639,49,99,71,28
A,Amarillo,2020-08-01,589,638,50,61,77,28
A,Amarillo,2020-08-02,599,638,53,147,77,29
A,Amarillo,2020-08-03,600,632,53,97,78,29
A,Amarillo,2020-08-04,611,638,52,98,79,29
A,Amarillo,2020-08-05,600,630,44,90,72,29
A,Amarillo,2020-08-06,617,648,48,86,75,36
A,Amarillo,2020-08-07,633,648,46,86,75,36
A,Amarillo,2020-08-08,638,634,43,88,74,32
A,Amarillo,2020-08-09,649,642,44,89,73,34
A,Amarillo,2020-08-10,662,632,45,88,73,34
A,Amarillo,2020-08-11,650,632,45,89,76,35
A,Amarillo,2020-08-12,645,642,44,90,76,36
A,Amarillo,2020-08-13,657,642,50,91,72,33
A,Amarillo,2020-08-14,640,651,50,88,55,30
A,Amarillo,2020-08-15,640,650,53,79,58,26
A,Amarillo,2020-08-16,632,654,52,83,59,27
A,Amarillo,2020-08-17,653,656,51,84,59,27
A,Amarillo,2020-08-18,630,651,52,83,60,27
A,Amarillo,2020-08-19,641,625,50,90,55,24
A,Amarillo,2020-08-20,627,614,47,85,57,22
A,Amarillo,2020-08-21,628,625,49,90,58,22
A,Amarillo,2020-08-22,643,631,53,91,56,20
A,Amarillo,2020-08-23,646,638,54,94,61,21
A,Amarillo,2020-08-24,658,628,55,92,59,21
A,Amarillo,2020-08-25,682,621,60,91,55,20
A,Amarillo,2020-08-26,640,620,53,88,51,19
A,Amarillo,2020-08-27,624,616,55,86,49,20
A,Amarillo,2020-08-28,629,621,57,86,51,18
A,Amarillo,2020-08-29,634,619,60,96,49,18
A,Amarillo,2020-08-30,664,622,54,94,47,16
A,Amarillo,2020-08-31,682,619,54,94,47,16
A,Amarillo,2020-09-01,664,631,53,95,46,16
A,Amarillo,2020-09-02,620,617,49,87,48,17
A,Amarillo,2020-09-03,631,643,56,95,51,19
A,Amarillo,2020-09-04,638,651,56,96,54,19
A,Amarillo,2020-09-05,633,645,58,98,55,21
A,Amarillo,2020-09-06,638,642,58,98,56,21
A,Amarillo,2020-09-07,652,644,57,99,57,21
A,Amarillo,2020-09-08,644,640,58,98,54,21
A,Amarillo,2020-09-09,630,637,58,98,53,21
A,Amarillo,2020-09-10,662,639,57,96,47,23
A,Amarillo,2020-09-11,672,631,60,99,44,22
A,Amarillo,2020-09-12,671,649,56,101,42,23
A,Amarillo,2020-09-13,679,641,59,98,46,22
A,Amarillo,2020-09-14,676,646,59,99,68,31
A,Amarillo,2020-09-15,648,653,60,100,72,34
B,Lubbock,2020-04-12,613,755,93,,34,12
B,Lubbock,2020-04-13,628,744,89,,35,12
B,Lubbock,2020-04-14,660,734,91,,31,14
B,Lubbock,2020-04-15,612,748,86,,34,15
B,Lubbock,2020-04-16,608,795,99,,32,14
B,Lubbock,2020-04-17,581,823,109,,38,17
B,Lubbock,2020-04-18,580,782,95,,35,16
B,Lubbock,2020-04-19,579,807,73,,32,18
B,Lubbock,2020-04-20,600,736,81,,32,17
B,Lubbock,2020-04-21,534,769,79,,46,19
B,Lubbock,2020-04-22,520,777,73,,28,15
B,Lubbock,2020-04-23,514,811,77,90,25,15
B,Lubbock,2020-04-24,521,801,76,90,27,15
B,Lubbock,2020-04-25,519,798,66,137,32,18
B,Lubbock,2020-04-26,512,765,52,116,26,18
B,Lubbock,2020-04-27,533,744,68,128,29,18
B,Lubbock,2020-04-28,501,781,65,132,29,16
B,Lubbock,2020-04-29,484,812,65,134,31,19
B,Lubbock,2020-04-30,477,816,70,132,38,30
B,Lubbock,2020-05-01,483,844,72,142,36,28
B,Lubbock,2020-05-02,453,846,68,139,37,26
B,Lubbock,2020-05-03,496,800,68,129,29,24
B,Lubbock,2020-05-04,553,745,85,118,30,24
B,Lubbock,2020-05-05,540,779,75,119,33,26
B,Lubbock,2020-05-06,500,836,65,120,37,24
B,Lubbock,2020-05-07,491,852,62,127,32,20
B,Lubbock,2020-05-08,485,831,69,122,28,17
B,Lubbock,2020-05-09,523,810,75,103,27,15
B,Lubbock,2020-05-10,530,756,92,104,25,14
B,Lubbock,2020-05-11,560,687,92,100,23,13
B,Lubbock,2020-05-12,521,699,82,108,25,15
B,Lubbock,2020-05-13,512,797,75,108,19,13
B,Lubbock,2020-05-14,458,852,81,101,22,15
B,Lubbock,2020-05-15,479,846,81,113,21,14
B,Lubbock,2020-05-16,473,808,76,118,20,16
B,Lubbock,2020-05-17,562,726,89,110,19,14
B,Lubbock,2020-05-18,569,684,83,101,20,13
B,Lubbock,2020-05-19,558,760,85,101,21,12
B,Lubbock,2020-05-20,483,836,36,118,25,14
B,Lubbock,2020-05-21,449,871,64,131,20,13
B,Lubbock,2020-05-22,465,849,63,141,15,11
B,Lubbock,2020-05-23,538,823,84,125,14,10
B,Lubbock,2020-05-24,511,793,36,125,13,7
B,Lubbock,2020-05-25,512,760,39,117,16,8
B,Lubbock,2020-05-26,466,772,66,128,16,8
B,Lubbock,2020-05-27,535,809,81,126,15,7
B,Lubbock,2020-05-28,467,861,64,123,14,7
B,Lubbock,2020-05-29,461,893,39,111,20,8
B,Lubbock,2020-05-30,408,896,32,127,14,5
B,Lubbock,2020-05-31,402,838,40,116,12,7
B,Lubbock,2020-06-01,446,753,53,100,14,9
B,Lubbock,2020-06-02,435,796,44,101,16,8
B,Lubbock,2020-06-03,423,886,36,158,19,8
B,Lubbock,2020-06-04,364,921,18,166,16,9
B,Lubbock,2020-06-05,374,951,33,139,13,7
B,Lubbock,2020-06-06,387,935,28,140,11,9
B,Lubbock,2020-06-07,468,842,38,134,11,7
B,Lubbock,2020-06-08,418,813,41,123,10,7
B,Lubbock,2020-06-09,424,786,42,114,10,7
B,Lubbock,2020-06-10,408,866,45,112,15,8
B,Lubbock,2020-06-11,403,878,47,114,14,8
B,Lubbock,2020-06-12,391,902,35,130,17,9
B,Lubbock,2020-06-13,393,882,34,133,18,10
B,Lubbock,2020-06-14,388,813,35,131,16,8
B,Lubbock,2020-06-15,456,767,46,129,15,8
B,Lubbock,2020-06-16,435,747,44,117,14,9
B,Lubbock,2020-06-17,394,861,43,135,16,7
B,Lubbock,2020-06-18,381,895,46,127,20,7
B,Lubbock,2020-06-19,379,902,38,136,21,8
B,Lubbock,2020-06-20,347,900,26,132,22,10
B,Lubbock,2020-06-21,410,865,52,139,22,8
B,Lubbock,2020-06-22,426,789,45,124,22,8
B,Lubbock,2020-06-23,403,903,43,131,25,8
B,Lubbock,2020-06-24,359,891,35,125,34,11
B,Lubbock,2020-06-25,369,934,28,135,37,17
B,Lubbock,2020-06-26,367,951,32,135,43,20
B,Lubbock,2020-06-27,346,966,28,137,42,22
B,Lubbock,2020-06-28,347,917,27,139,51,21
B,Lubbock,2020-06-29,357,863,34,132,49,21
B,Lubbock,2020-06-30,368,886,35,126,58,26
B,Lubbock,2020-07-01,340,932,26,144,72,28
B,Lubbock,2020-07-02,324,972,22,145,74,31
B,Lubbock,2020-07-03,308,982,22,155,98,39
B,Lubbock,2020-07-04,382,915,36,143,88,37
B,Lubbock,2020-07-05,413,841,35,136,93,41
B,Lubbock,2020-07-06,391,827,23,142,86,41
B,Lubbock,2020-07-07,389,852,21,150,97,44
B,Lubbock,2020-07-08,335,933,16,152,109,47
B,Lubbock,2020-07-09,329,1058,20,147,117,48
B,Lubbock,2020-07-10,302,1073,19,146,115,57
B,Lubbock,2020-07-11,330,1065,20,158,128,47
B,Lubbock,2020-07-12,335,1003,24,161,125,44
B,Lubbock,2020-07-13,345,948,27,156,130,46
B,Lubbock,2020-07-14,328,1006,22,161,130,48
B,Lubbock,2020-07-15,322,1041,13,169,123,46
B,Lubbock,2020-07-16,314,1091,21,171,124,44
B,Lubbock,2020-07-17,316,1085,16,172,125,43
B,Lubbock,2020-07-18,292,1074,18,160,128,47
B,Lubbock,2020-07-19,334,972,15,161,114,48
B,Lubbock,2020-07-20,346,923,19,161,128,50
B,Lubbock,2020-07-21,347,968,20,154,128,48
B,Lubbock,2020-07-22,322,1017,17,158,133,48
B,Lubbock,2020-07-23,293,1062,0,187,142,52
B,Lubbock,2020-07-24,1089,1124,117,162,203,108
B,Lubbock,2020-07-25,742,1073,23,182,190,108
B,Lubbock,2020-07-26,757,870,28,96,198,113
B,Lubbock,2020-07-27,769,870,29,313,185,114
B,Lubbock,2020-07-28,607,885,31,144,127,53
B,Lubbock,2020-07-29,569,927,26,145,105,50
B,Lubbock,2020-07-30,541,991,36,159,130,55
B,Lubbock,2020-07-31,489,946,28,166,134,57
B,Lubbock,2020-08-01,418,1056,39,157,127,57
B,Lubbock,2020-08-02,413,991,27,152,138,57
B,Lubbock,2020-08-03,453,900,30,156,162,54
B,Lubbock,2020-08-04,432,906,29,156,130,54
B,Lubbock,2020-08-05,409,963,26,161,118,58
B,Lubbock,2020-08-06,432,967,25,164,113,57
B,Lubbock,2020-08-07,413,933,25,165,123,57
B,Lubbock,2020-08-08,464,933,24,162,117,60
B,Lubbock,2020-08-09,524,913,28,162,111,53
B,Lubbock,2020-08-10,518,880,36,159,110,53
B,Lubbock,2020-08-11,461,918,27,144,109,53
B,Lubbock,2020-08-12,441,939,42,155,111,53
B,Lubbock,2020-08-13,415,908,31,151,108,51
B,Lubbock,2020-08-14,426,951,34,152,97,48
B,Lubbock,2020-08-15,459,930,31,146,86,35
B,Lubbock,2020-08-16,473,903,32,142,84,29
B,Lubbock,2020-08-17,437,905,36,131,89,33
B,Lubbock,2020-08-18,436,937,26,143,92,36
B,Lubbock,2020-08-19,441,947,30,145,98,34
B,Lubbock,2020-08-20,412,971,48,151,99,35
B,Lubbock,2020-08-21,418,961,52,155,91,35
B,Lubbock,2020-08-22,411,952,32,160,85,39
B,Lubbock,2020-08-23,473,938,43,148,80,37
B,Lubbock,2020-08-24,472,926,45,141,81,37
