county,population
Statewide,22448443
Anderson,49346
Andrews,13954
Angelina,70388
Aransas,19727
Archer,7533
Armstrong,1693
Atascosa,39065
Austin,25584
Bailey,5190
Bandera,19833
Bastrop,70499
Baylor,3002
Bee,26904
Bell,265191
Bexar,1541803
Blanco,10177
Borden,580
Bosque,15491
Bowie,78179
Brazoria,295635
Brazos,185835
Brewster,7291
Briscoe,1295
Brooks,5438
Brown,31586
Burleson,14721
Burnet,39423
Caldwell,33813
Calhoun,17169
Callahan,11666
Cameron,315242
Camp,10054
Carson,4769
Cass,24447
Castro,5574
Chambers,34171
Cherokee,41571
Childress,5769
Clay,8544
Cochran,2167
Coke,2839
Coleman,6555
Collin,806242
Collingsworth,2177
Colorado,17682
Comal,125758
Comanche,11046
Concho,2381
Cooke,32501
Coryell,58277
Cottle,1120
Crane,3483
Crockett,2687
Crosby,4386
Culberson,1797
Dallam,5092
Dallas,2015538
Dawson,9997
Deaf Smith,14288
Delta,4312
Denton,702429
DeWitt,16610
Dickens,1840
Dimmit,7130
Donley,2655
Duval,8359
Eastland,14718
Ector,123303
Edwards,1605
El Paso,640715
Ellis,146536
Erath,34869
Falls,14306
Fannin,29681
Fayette,21209
Fisher,3139
Floyd,4283
Foard,937
Fort Bend,626861
Franklin,8327
Freestone,16551
Frio,15133
Gaines,14875
Galveston,267032
Garza,5021
Gillespie,22728
Glasscock,1108
Goliad,6615
Gonzales,15931
Gray,17050
Grayson,107568
Gregg,97771
Grimes,23692
Guadalupe,130156
Hale,25066
Hall,2399
Hamilton,6957
Hansford,3992
Hardeman,3017
Hardin,47640
Harris,3573784
Harrison,53015
Hartley,4850
Haskell,4635
Hays,183387
Hemphill,2788
Henderson,67614
Hidalgo,649795
Hill,29221
Hockley,17482
Hood,50235
Hopkins,29578
Houston,19208
Howard,28821
Hudspeth,2968
Hunt,77702
Hutchinson,15984
Irion,1345
Jack,7488
Jackson,11172
Jasper,28248
Jeff Davis,2146
Jefferson,198728
Jim Hogg,3764
Jim Wells,29988
Johnson,135188
Jones,16827
Karnes,12523
Kaufman,104736
Kendall,38074
Kenedy,315
Kent,633
Kerr,43611
Kimble,3844
King,233
Kinney,2931
Kleberg,25862
Knox,2861
La Salle,6105
Lamar,40212
Lamb,9647
Lampasas,17275
Lavaca,16041
Lee,13837
Leon,14066
Liberty,70912
Limestone,19033
Lipscomb,2496
Live Oak,9966
Llano,18642
Loving,83
Lubbock,243899
Lynn,4820
Madison,11353
Marion,8117
Martin,4306
Mason,3567
Matagorda,28353
Maverick,42357
McCulloch,6675
McLennan,198642
McMullen,640
Medina,42991
Menard,1759
Midland,132357
Milam,19805
Mills,3970
Mitchell,7087
Montague,15803
Montgomery,470846
Moore,15513
Morris,9938
Motley,1016
Nacogdoches,52561
Navarro,40888
Newton,11070
Nolan,10998
Nueces,282299
Ochiltree,7508
Oldham,1714
Orange,65680
Palo Pinto,23268
Panola,19325
Parker,112329
Parmer,7111
Pecos,11723
Polk,41511
Potter,89806
Presidio,5092
Rains,10262
Randall,109144
Reagan,2900
Real,2882
Red River,9511
Reeves,13004
Refugio,5497
Roberts,673
Robertson,14216
Rockwall,81869
Runnels,7992
Rusk,44061
Sabine,9116
San Augustine,6982
San Jacinto,23713
San Patricio,51382
San Saba,5108
Schleicher,2184
Scurry,12956
Shackelford,2694
Shelby,18618
Sherman,2368
Smith,181426
Somervell,7769
Starr,46042
Stephens,7614
Sterling,1019
Stonewall,1136
Sutton,2909
Swisher,5843
Tarrant,1596169
Taylor,108531
Terrell,652
Terry,9564
Throckmorton,1187
Titus,25312
Tom Green,93428
Travis,1016090
Trinity,12118
Tyler,18704
Upshur,33211
Upton,2790
Uvalde,20809
Val Verde,38039
Van Zandt,45144
Victoria,72004
Walker,64302
Waller,44163
Ward,8544
Washington,28737
Webb,205887
Wharton,31964
Wheeler,4018
Wichita,106550
Wilbarger,9933
Willacy,16823
Williamson,457170
Wilson,42030
Winkler,5798
Wise,55570
Wood,37205
Yoakum,6336
Young,15028
Zapata,10088
Zavala,8768
